Contract1,Contract2,Best,Average,Best Month,January,February,March,April,May,June,July,August,September,October,November,December
ZC Dec25-May26,ZC Mar26-May26,0.16,0.09,January,0.16,0.13,0.05,0.12,0.12,0.09,0.07,0.05,0.09,0.05,0.08,
ZC Dec25-May26,ZC Jul25-Mar26,0.24,0.15,February,0.2,0.24,0.12,0.13,0.1,0.08,0.13,0.09,0.14,0.24,0.2,0.09
ZC Dec25-May26,ZC May25-Jul25,0.2,0.11,January,0.2,0.18,0.09,0.09,0.14,0.12,0.08,0.12,0.06,0.06,0.07,0.08
ZC Dec25-May26,ZC Jul25-Sep25,0.31,0.2,March,0.26,0.28,0.31,0.29,0.16,0.18,0.05,0.13,0.2,0.23,0.24,0.08
ZC Dec25-May26,ZC May25-Mar26,0.22,0.15,October,0.21,0.21,0.15,0.21,0.12,0.06,0.08,0.1,0.13,0.22,0.2,0.05
ZC Dec25-May26,ZC Sep25-Jul26,0.2,0.09,February,0.17,0.2,0.07,0.05,0.1,0.06,0.05,0.05,0.11,0.09,0.04,0.04
ZC Dec25-May26,ZC Jul25-Dec25,0.26,0.2,March,0.25,0.25,0.26,0.24,0.14,0.14,0.07,0.15,0.17,0.25,0.25,
ZC Dec25-May26,ZC Mar25-Dec25,0.23,0.13,January,0.23,0.22,0.05,0.13,0.14,0.08,0.06,0.15,0.14,0.13,0.15,0.05
ZC Dec25-May26,ZC Mar25-May25,0.18,0.11,January,0.18,0.16,0.08,0.12,0.15,0.11,0.08,0.15,0.11,0.06,0.07,0.09
ZC Dec25-May26,ZC Mar25-Jul25,0.19,0.1,January,0.19,0.16,0.04,0.13,0.14,0.09,0.08,0.09,0.1,0.06,,0.06
ZC Dec25-May26,ZC Dec25-Jul26,0.18,0.09,January,0.18,0.15,0.07,0.09,0.1,0.08,0.08,0.08,0.07,0.09,0.05,0.07
ZC Dec25-May26,ZC Sep25-Dec25,0.21,0.13,February,0.21,0.21,0.19,0.17,0.15,0.11,0.04,0.04,0.05,0.12,0.13,0.08
ZC Dec25-May26,ZC Dec25-Mar26,0.2,0.13,February,0.14,0.2,0.06,0.11,0.15,0.16,0.1,0.13,0.19,0.06,0.14,
ZC Dec25-May26,ZC Jul25-May26,0.23,0.15,October,0.19,0.18,0.17,0.19,0.1,0.1,0.06,0.12,0.14,0.23,0.23,0.09
ZC Dec25-May26,ZC Mar25-Sep25,0.21,0.14,January,0.21,0.2,0.17,0.09,0.14,0.09,0.13,0.08,0.16,0.14,0.2,0.07
