Contract 1,Contract 2,Mean,Median
ZW May25-Dec25.csv,ZW Sep25-Mar26.csv,1.8,1.5
ZW May25-Dec25.csv,ZW Dec25-May26.csv,1.0950000000000002,1.2000000000000002
ZW May25-Dec25.csv,ZW Mar26-Sep26.csv,0.35,0.2
ZW May25-Dec25.csv,ZW May25-Jul25.csv,1.895,1.8000000000000003
ZW May25-Dec25.csv,ZW Sep25-May26.csv,0.865,0.95
ZW May25-Dec25.csv,ZW Jul26-Sep26.csv,1.19,0.25
ZW May25-Dec25.csv,ZW May25-Sep25.csv,1.2650000000000001,1.3
ZW May25-Dec25.csv,ZW May26-Sep26.csv,0.48,0.30000000000000004
ZW May25-Dec25.csv,ZW Mar26-May26.csv,1.56,1.6
ZW May25-Dec25.csv,ZW Mar26-Jul26.csv,0.575,0.6000000000000001
ZW May25-Dec25.csv,ZW Sep26-Dec26.csv,0.865,0.30000000000000004
ZW May25-Dec25.csv,ZW Jul25-Mar26.csv,1.34,1.05
ZW May25-Dec25.csv,ZW Jul25-Dec25.csv,1.8049999999999997,1.7000000000000002
ZW May25-Dec25.csv,ZW Dec25-Jul26.csv,0.5850000000000001,0.6000000000000001
ZW May25-Dec25.csv,ZW Jul26-Dec26.csv,0.8850000000000001,0.8
ZW May25-Dec25.csv,ZW Jul25-Sep25.csv,3.195,3.25
ZW May25-Dec25.csv,ZW Dec25-Mar26.csv,3.0,2.6
ZW May25-Dec25.csv,ZW May26-Jul26.csv,0.78,0.8
ZW May25-Dec25.csv,ZW Sep25-Dec25.csv,3.07,2.9000000000000004
ZW Sep25-Mar26.csv,ZW Dec25-May26.csv,0.72,0.8
ZW Sep25-Mar26.csv,ZW Mar26-Sep26.csv,0.18,0.1
ZW Sep25-Mar26.csv,ZW May25-Jul25.csv,0.825,0.6000000000000001
ZW Sep25-Mar26.csv,ZW Sep25-May26.csv,0.5650000000000001,0.6000000000000001
ZW Sep25-Mar26.csv,ZW Jul26-Sep26.csv,0.7849999999999999,0.6000000000000001
ZW Sep25-Mar26.csv,ZW May25-Sep25.csv,0.59,0.5
ZW Sep25-Mar26.csv,ZW May26-Sep26.csv,0.34500000000000003,0.2
ZW Sep25-Mar26.csv,ZW Mar26-May26.csv,1.125,1.15
ZW Sep25-Mar26.csv,ZW Mar26-Jul26.csv,0.39,0.30000000000000004
ZW Sep25-Mar26.csv,ZW Sep26-Dec26.csv,0.8150000000000001,0.4
ZW Sep25-Mar26.csv,ZW Jul25-Mar26.csv,0.6849999999999999,0.7000000000000001
ZW Sep25-Mar26.csv,ZW Jul25-Dec25.csv,1.0100000000000002,0.9
ZW Sep25-Mar26.csv,ZW Dec25-Jul26.csv,0.35,0.30000000000000004
ZW Sep25-Mar26.csv,ZW Jul26-Dec26.csv,0.44000000000000006,0.4
ZW Sep25-Mar26.csv,ZW Jul25-Sep25.csv,1.5450000000000002,1.4000000000000001
ZW Sep25-Mar26.csv,ZW Dec25-Mar26.csv,1.7750000000000004,1.8
ZW Sep25-Mar26.csv,ZW May26-Jul26.csv,0.545,0.4
ZW Sep25-Mar26.csv,ZW Sep25-Dec25.csv,1.8400000000000003,1.8
ZW Dec25-May26.csv,ZW Mar26-Sep26.csv,0.2736842105263158,0.2
ZW Dec25-May26.csv,ZW May25-Jul25.csv,0.8,0.7000000000000001
ZW Dec25-May26.csv,ZW Sep25-May26.csv,0.7250000000000001,0.7000000000000001
ZW Dec25-May26.csv,ZW Jul26-Sep26.csv,1.2526315789473685,1.1
ZW Dec25-May26.csv,ZW May25-Sep25.csv,0.8150000000000001,0.55
ZW Dec25-May26.csv,ZW May26-Sep26.csv,0.7263157894736842,0.30000000000000004
ZW Dec25-May26.csv,ZW Mar26-May26.csv,1.6750000000000003,1.75
ZW Dec25-May26.csv,ZW Mar26-Jul26.csv,0.5650000000000001,0.5
ZW Dec25-May26.csv,ZW Sep26-Dec26.csv,0.9736842105263158,0.6000000000000001
ZW Dec25-May26.csv,ZW Jul25-Mar26.csv,0.775,0.75
ZW Dec25-May26.csv,ZW Jul25-Dec25.csv,1.0450000000000002,1.05
ZW Dec25-May26.csv,ZW Dec25-Jul26.csv,0.5050000000000001,0.5
ZW Dec25-May26.csv,ZW Jul26-Dec26.csv,0.56,0.45000000000000007
ZW Dec25-May26.csv,ZW Jul25-Sep25.csv,1.645,1.4
ZW Dec25-May26.csv,ZW Dec25-Mar26.csv,1.8699999999999999,1.8
ZW Dec25-May26.csv,ZW May26-Jul26.csv,0.6100000000000001,0.6000000000000001
ZW Dec25-May26.csv,ZW Sep25-Dec25.csv,1.7,1.65
ZW Mar26-Sep26.csv,ZW May25-Jul25.csv,0.635,0.45000000000000007
ZW Mar26-Sep26.csv,ZW Sep25-May26.csv,0.4947368421052632,0.2
ZW Mar26-Sep26.csv,ZW Jul26-Sep26.csv,3.15,3.35
ZW Mar26-Sep26.csv,ZW May25-Sep25.csv,0.485,0.25
