Date,Open,High,Low,Close
2024-09-27 08:00:00,-2.7,-2.7,-2.7,-2.7
2024-09-27 07:00:00,-2.7,-2.7,-2.7,-2.7
2024-09-27 00:00:00,-2.8,-2.8,-2.8,-2.8
2024-09-26 18:00:00,-2.7,-2.7,-2.8,-2.8
2024-09-26 17:00:00,-2.9,-2.7,-2.9,-2.8
2024-09-26 16:00:00,-2.9,-2.7,-2.9,-2.8
2024-09-26 15:00:00,-2.8,-2.7,-2.9,-2.9
2024-09-26 14:00:00,-2.6,-2.6,-2.7,-2.7
2024-09-26 13:00:00,-2.7,-2.6,-2.8,-2.7
2024-09-26 12:00:00,-2.7,-2.7,-2.8,-2.8
2024-09-26 11:00:00,-2.6,-2.6,-2.8,-2.8
2024-09-26 10:00:00,-2.6,-2.6,-2.6,-2.6
2024-09-26 09:00:00,-2.7,-2.7,-2.7,-2.7
2024-09-26 08:00:00,-2.7,-2.7,-2.7,-2.7
2024-09-26 07:00:00,-2.7,-2.7,-2.7,-2.7
2024-09-26 04:00:00,-2.7,-2.7,-2.7,-2.7
2024-09-26 02:00:00,-2.7,-2.7,-2.7,-2.7
2024-09-26 01:00:00,-2.7,-2.7,-2.7,-2.7
2024-09-26 00:00:00,-2.8,-2.7,-2.8,-2.7
2024-09-25 18:00:00,-2.8,-2.7,-2.8,-2.7
2024-09-25 17:00:00,-2.7,-2.7,-2.9,-2.7
2024-09-25 16:00:00,-2.7,-2.6,-2.8,-2.6
2024-09-25 15:00:00,-2.7,-2.7,-2.8,-2.7
2024-09-25 14:00:00,-2.8,-2.7,-2.9,-2.7
2024-09-25 13:00:00,-2.8,-2.8,-2.9,-2.8
2024-09-25 12:00:00,-2.9,-2.9,-2.9,-2.9
2024-09-25 11:00:00,-2.9,-2.9,-2.9,-2.9
2024-09-25 10:00:00,-2.9,-2.8,-2.9,-2.8
2024-09-25 08:00:00,-2.9,-2.8,-2.9,-2.8
2024-09-25 07:00:00,-2.9,-2.9,-2.9,-2.9
2024-09-25 02:00:00,-2.8,-2.8,-2.8,-2.8
2024-09-25 00:00:00,-2.8,-2.7,-2.8,-2.7
2024-09-24 18:00:00,-2.9,-2.8,-2.9,-2.8
2024-09-24 17:00:00,-2.8,-2.7,-2.9,-2.9
2024-09-24 16:00:00,-2.9,-2.8,-2.9,-2.8
2024-09-24 15:00:00,-2.7,-2.7,-2.9,-2.9
2024-09-24 14:00:00,-2.8,-2.6,-2.8,-2.7
2024-09-24 13:00:00,-2.8,-2.7,-2.9,-2.8
2024-09-24 12:00:00,-2.8,-2.7,-2.8,-2.8
2024-09-24 11:00:00,-2.8,-2.8,-2.8,-2.8
2024-09-24 10:00:00,-2.8,-2.8,-2.9,-2.8
2024-09-24 09:00:00,-2.8,-2.8,-2.8,-2.8
2024-09-24 08:00:00,-2.8,-2.8,-2.8,-2.8
2024-09-24 06:00:00,-2.9,-2.8,-2.9,-2.8
2024-09-24 00:00:00,-2.9,-2.9,-3.0,-3.0
2024-09-23 18:00:00,-2.9,-2.8,-3.0,-3.0
2024-09-23 17:00:00,-2.9,-2.8,-2.9,-2.9
2024-09-23 16:00:00,-2.9,-2.8,-2.9,-2.9
2024-09-23 15:00:00,-2.8,-2.8,-2.8,-2.8
2024-09-23 14:00:00,-2.8,-2.7,-2.8,-2.8
2024-09-23 13:00:00,-3.0,-2.7,-3.0,-2.8
2024-09-23 12:00:00,-3.1,-3.1,-3.1,-3.1
2024-09-23 08:00:00,-3.1,-3.1,-3.1,-3.1
2024-09-23 06:00:00,-3.0,-3.0,-3.0,-3.0
2024-09-23 05:00:00,-3.0,-3.0,-3.0,-3.0
2024-09-23 03:00:00,-3.0,-3.0,-3.0,-3.0
2024-09-23 02:00:00,-3.0,-3.0,-3.0,-3.0
2024-09-23 01:00:00,-3.0,-3.0,-3.0,-3.0
2024-09-23 00:00:00,-3.1,-3.0,-3.1,-3.0
2024-09-20 18:00:00,-3.1,-3.0,-3.1,-3.0
2024-09-20 17:00:00,-3.2,-3.2,-3.2,-3.2
