Date,Open,High,Low,Close
2024-09-27,-1.9,-1.7,-2.0,-1.7
2024-09-26,-1.8,-1.5,-2.1,-1.8
2024-09-25,-2.1,-1.7,-2.2,-1.7
2024-09-24,-2.1,-1.7,-2.3,-2.1
2024-09-23,-2.6,-2.0,-2.6,-2.1
2024-09-20,-2.6,-2.4,-3.0,-2.5
2024-09-19,-3.0,-2.5,-3.0,-2.6
2024-09-18,-3.1,-3.0,-3.2,-3.0
2024-09-17,-3.2,-3.1,-3.3,-3.1
2024-09-16,-3.1,-2.8,-3.4,-3.1
2024-09-13,-2.7,-2.6,-3.2,-3.0
2024-09-12,-3.2,-2.3,-3.3,-2.6
2024-09-11,-2.9,-2.8,-3.2,-3.2
2024-09-10,-2.6,-2.4,-3.0,-2.8
2024-09-09,-2.3,-1.9,-2.6,-2.5
2024-09-06,-2.4,-1.9,-2.5,-2.2
2024-09-05,-1.8,-1.7,-2.7,-2.5
2024-09-04,-2.2,-1.6,-2.5,-1.8
2024-09-03,-1.8,-1.6,-2.5,-2.1
2024-08-30,-1.6,-1.3,-2.4,-1.9
2024-08-29,-2.2,-1.2,-2.2,-1.5
2024-08-28,-2.0,-1.8,-2.5,-2.2
2024-08-27,-2.7,-1.7,-2.7,-1.9
2024-08-26,-3.2,-2.4,-3.2,-2.6
2024-08-23,-3.5,-3.0,-3.5,-3.0
2024-08-22,-3.5,-3.3,-3.7,-3.5
2024-08-21,-3.4,-3.2,-3.6,-3.5
2024-08-20,-3.4,-3.1,-3.5,-3.4
2024-08-19,-3.6,-3.2,-3.7,-3.4
2024-08-16,-3.3,-3.3,-3.7,-3.6
2024-08-15,-3.4,-3.0,-3.4,-3.3
2024-08-14,-3.7,-3.2,-3.8,-3.3
2024-08-13,-3.2,-3.0,-3.9,-3.7
2024-08-12,-2.5,-2.2,-3.3,-3.2
2024-08-09,-2.1,-2.0,-2.6,-2.4
2024-08-08,-2.0,-1.6,-2.3,-2.1
2024-08-07,-1.3,-1.3,-2.1,-2.0
2024-08-06,-0.9,-0.3,-1.5,-1.3
2024-08-05,-0.4,-0.4,-1.1,-0.8
2024-08-02,-1.2,-0.4,-1.5,-0.4
2024-08-01,-1.3,-1.0,-1.4,-1.1
2024-07-31,-1.1,-0.8,-1.5,-1.2
2024-07-30,-1.0,-0.6,-1.2,-0.9
2024-07-29,-1.3,-0.7,-1.5,-0.8
2024-07-26,-1.0,-0.8,-1.3,-1.3
2024-07-25,-1.7,-0.9,-1.7,-0.9
2024-07-24,-1.3,-0.7,-1.7,-1.7
2024-07-23,-1.6,-1.0,-1.6,-1.3
2024-07-22,-2.4,-1.4,-2.4,-1.6
2024-07-19,-1.6,-1.5,-2.4,-2.4
2024-07-18,-1.6,-1.3,-2.0,-1.6
2024-07-17,-2.0,-1.5,-2.3,-1.5
2024-07-16,-1.9,-1.7,-2.2,-2.1
2024-07-15,-2.0,-1.4,-2.1,-1.8
2024-07-12,-1.6,-1.5,-2.1,-1.9
2024-07-11,-1.5,-1.3,-1.8,-1.6
2024-07-10,-1.5,-1.1,-1.6,-1.5
2024-07-09,-1.3,-1.0,-1.5,-1.4
2024-07-08,-0.3,-0.2,-1.5,-1.3
2024-07-05,-0.7,0.2,-0.7,-0.2
2024-07-03,-0.6,-0.2,-0.9,-0.7
2024-07-02,-0.9,-0.4,-1.1,-0.6
2024-07-01,-0.8,-0.6,-1.3,-1.0
2024-06-28,-0.3,-0.1,-1.0,-0.8
2024-06-27,0.3,0.4,-1.0,-0.4
2024-06-26,0.2,0.4,0.1,0.2
2024-06-25,-0.1,0.4,-0.4,0.3
2024-06-24,-0.8,0.2,-1.1,0.2
2024-06-21,-1.2,-0.4,-1.3,-0.8
2024-06-20,0.4,0.5,-1.2,-1.1
2024-06-18,0.4,0.8,0.3,0.4
2024-06-17,1.2,1.2,0.3,0.4
2024-06-14,1.2,1.7,1.1,1.3
2024-06-13,0.6,1.9,0.6,1.3
2024-06-12,0.5,0.7,0.4,0.6
2024-06-11,1.1,1.1,0.5,0.5
2024-06-10,0.9,1.3,0.9,1.1
2024-06-07,1.2,1.2,0.8,1.0
2024-06-06,1.1,1.5,1.1,1.2
2024-06-05,0.7,1.4,0.5,1.0
2024-06-04,0.8,0.9,0.4,0.7
2024-06-03,1.4,1.5,0.7,0.8
