"Timestamp.2026","2026","Timestamp.2025","2025","Timestamp.2024","2024","Timestamp.2023","2023","Timestamp.2022","2022","Timestamp.2021","2021","Timestamp.2020","2020","Timestamp.2019","2019","Timestamp.2018","2018","Timestamp.2017","2017","Timestamp.2016","2016","Timestamp.2015","2015","Timestamp.2014","2014","Timestamp.2013","2013","Timestamp.2012","2012","Timestamp.2011","2011","Timestamp.2010","2010","Timestamp.2009","2009","Timestamp.2008","2008","Timestamp.2007","2007"
2023-11-13,36.75,"2022-11-13",NA,"2021-11-13",NA,"2020-11-13",NA,"2019-11-13",NA,"2018-11-13",NA,"2017-11-13",NA,"2016-11-13",NA,"2015-11-13",NA,"2014-11-13",NA,"2013-11-13",NA,"2012-11-13",NA,"2011-11-13",NA,"2010-11-13",NA,"2009-11-13",NA,"2008-11-13",NA,"2007-11-13",NA,"2006-11-13",NA,"2005-11-13",NA,"2004-11-13",NA
2023-11-14,39.5,"2022-11-14",NA,"2021-11-14",NA,"2020-11-14",NA,"2019-11-14",NA,"2018-11-14",NA,"2017-11-14",NA,"2016-11-14",NA,"2015-11-14",NA,"2014-11-14",NA,"2013-11-14",NA,"2012-11-14",NA,"2011-11-14","-1.5","2010-11-14",NA,"2009-11-14",NA,"2008-11-14",NA,"2007-11-14",NA,"2006-11-14",NA,"2005-11-14",NA,"2004-11-14",NA
2023-11-15,39.5,"2022-11-15",NA,"2021-11-15","0","2020-11-15",NA,"2019-11-15","0","2018-11-15","0","2017-11-15","0","2016-11-15","0","2015-11-15",NA,"2014-11-15",NA,"2013-11-15",NA,"2012-11-15","12.5","2011-11-15","13","2010-11-15",NA,"2009-11-15",NA,"2008-11-15",NA,"2007-11-15",NA,"2006-11-15",NA,"2005-11-15",NA,"2004-11-15",NA
2023-11-16,39.5,"2022-11-16",NA,"2021-11-16","0","2020-11-16","0","2019-11-16","0","2018-11-16","0","2017-11-16","0","2016-11-16","0","2015-11-16","0","2014-11-16",NA,"2013-11-16",NA,"2012-11-16","12.5","2011-11-16","13","2010-11-16",NA,"2009-11-16","0","2008-11-16",NA,"2007-11-16",NA,"2006-11-16",NA,"2005-11-16",NA,"2004-11-16",NA
2023-11-17,39.5,"2022-11-17",NA,"2021-11-17","0","2020-11-17","0","2019-11-17","0","2018-11-17","0","2017-11-17","0","2016-11-17","0","2015-11-17","0","2014-11-17","0","2013-11-17",NA,"2012-11-17","12.5","2011-11-17","13","2010-11-17",NA,"2009-11-17","0","2008-11-17",NA,"2007-11-17",NA,"2006-11-17",NA,"2005-11-17",NA,"2004-11-17",NA
2023-11-18,39.5,"2022-11-18",NA,"2021-11-18","0","2020-11-18","0","2019-11-18","0","2018-11-18","0","2017-11-18","0","2016-11-18","0","2015-11-18","0","2014-11-18","0","2013-11-18","0","2012-11-18","12.5","2011-11-18","13","2010-11-18","26.25","2009-11-18","3.5","2008-11-18",NA,"2007-11-18",NA,"2006-11-18",NA,"2005-11-18",NA,"2004-11-18",NA
2023-11-19,39.5,"2022-11-19",NA,"2021-11-19","0","2020-11-19","0","2019-11-19","0","2018-11-19","0","2017-11-19","0","2016-11-19","0","2015-11-19","0","2014-11-19","0","2013-11-19","-2.75","2012-11-19","12.5","2011-11-19","13","2010-11-19","7.25","2009-11-19","7","2008-11-19",NA,"2007-11-19",NA,"2006-11-19",NA,"2005-11-19",NA,"2004-11-19",NA
2023-11-20,39.5,"2022-11-20",NA,"2021-11-20","0","2020-11-20","0","2019-11-20","0","2018-11-20","0","2017-11-20","0","2016-11-20","0","2015-11-20","0","2014-11-20","0","2013-11-20","-2.75","2012-11-20","12.5","2011-11-20","13","2010-11-20","7.25","2009-11-20","7","2008-11-20",NA,"2007-11-20",NA,"2006-11-20",NA,"2005-11-20",NA,"2004-11-20",NA
2023-11-21,39.5,"2022-11-21",NA,"2021-11-21","0","2020-11-21","0","2019-11-21","0","2018-11-21","0","2017-11-21","0","2016-11-21","0","2015-11-21","0","2014-11-21","0","2013-11-21","-2.75","2012-11-21","12.5","2011-11-21","13","2010-11-21","7.25","2009-11-21","6.83333333333333","2008-11-21",NA,"2007-11-21",NA,"2006-11-21",NA,"2005-11-21",NA,"2004-11-21",NA
2023-11-22,39.5,"2022-11-22",NA,"2021-11-22","0","2020-11-22","0","2019-11-22","0","2018-11-22","0","2017-11-22","0","2016-11-22","0","2015-11-22","0","2014-11-22","0","2013-11-22","-2.75","2012-11-22","12.5","2011-11-22","14","2010-11-22","7.25","2009-11-22","6.66666666666667","2008-11-22",NA,"2007-11-22",NA,"2006-11-22",NA,"2005-11-22",NA,"2004-11-22",NA
2023-11-23,39.5,"2022-11-23",NA,"2021-11-23","0","2020-11-23","0","2019-11-23","0","2018-11-23","0","2017-11-23","0","2016-11-23","0","2015-11-23","0","2014-11-23","0","2013-11-23","-2.75","2012-11-23","12.5","2011-11-23","11","2010-11-23","7.25","2009-11-23","6.5","2008-11-23",NA,"2007-11-23",NA,"2006-11-23",NA,"2005-11-23",NA,"2004-11-23",NA
2023-11-24,39.5,"2022-11-24",NA,"2021-11-24","0","2020-11-24","0","2019-11-24","0","2018-11-24","0","2017-11-24","0","2016-11-24","0","2015-11-24","0","2014-11-24","0","2013-11-24","-2.75","2012-11-24","12.5","2011-11-24","11","2010-11-24","8.875","2009-11-24","6","2008-11-24",NA,"2007-11-24",NA,"2006-11-24",NA,"2005-11-24",NA,"2004-11-24",NA
