,Date-Time,Price,Volume,Bid Price,Bid Size,Ask Price,Ask Size,Side,BuyV,SellV
0,2022-12-27 16:23:20.066388299,0.04,1,0.04,1,0.07,1,Sell,0,1
1,2022-12-27 16:24:13.735070427,0.03,1,0.03,1,0.04,1,Sell,0,1
2,2023-01-10 19:18:31.819747797,0.09,3,0.09,7,0.1,2,Sell,0,3
3,2023-01-10 19:18:31.827713125,0.09,1,0.09,4,0.11,1,Sell,0,1
4,2023-01-10 19:18:31.827713125,0.09,1,0.09,3,0.11,1,Sell,0,1
5,2023-01-10 19:18:31.831704186,0.09,2,0.09,2,0.11,1,Sell,0,2
6,2023-01-10 19:18:31.839187997,0.08,2,0.08,2,0.11,1,Sell,0,2
7,2023-01-10 19:18:35.587381189,0.07,1,0.07,2,0.09,1,Sell,0,1
8,2023-01-10 19:18:35.587381189,0.07,1,0.07,1,0.09,2,Sell,0,1
9,2023-01-10 19:18:35.592173570,0.06,2,0.06,2,0.09,1,Sell,0,2
10,2023-01-10 19:18:41.023316067,0.07,3,0.05,2,0.07,1,Buy,3,0
11,2023-01-10 19:18:41.031272702,0.07,1,0.07,2,0.08,1,Sell,0,1
12,2023-01-10 19:18:41.096000697,0.07,1,0.07,1,0.08,2,Sell,0,1
13,2023-01-10 19:18:47.559610819,0.06,2,0.05,2,0.06,2,Buy,2,0
14,2023-01-10 19:18:47.731844043,0.05,2,0.05,2,0.07,1,Sell,0,2
15,2023-01-10 19:18:47.987207320,0.06,2,0.04,7,0.06,1,Buy,2,0
16,2023-01-10 19:18:48.352117474,0.06,2,0.04,7,0.06,1,Buy,2,0
17,2023-01-10 19:18:48.991318036,0.06,2,0.04,7,0.06,1,Buy,2,0
18,2023-01-10 19:18:49.343758480,0.06,2,0.04,7,0.06,1,Buy,2,0
19,2023-01-10 19:18:49.687294073,0.05,2,0.04,7,0.05,1,Buy,2,0
20,2023-01-10 19:18:50.127193895,0.06,2,0.04,7,0.06,1,Buy,2,0
21,2023-01-10 19:18:50.447942539,0.06,2,0.06,2,0.09,1,Sell,0,2
22,2023-01-10 19:18:52.159400634,0.07,2,0.05,2,0.07,1,Buy,2,0
23,2023-01-10 19:18:52.435269281,0.06,1,0.05,2,0.06,1,Buy,1,0
24,2023-01-10 19:18:52.444158786,0.06,1,0.06,1,0.09,1,Sell,0,1
